,TotalSteps,Calories
665,0,1841
666,2153,2053
667,6474,2484
668,7091,2584
669,0,1841
670,703,1993
671,0,1841
672,2503,2280
673,2487,2319
674,0,1841
675,9,1843
676,0,1841
677,0,1841
678,4697,2496
679,1967,1032
680,10199,1994
681,5652,1718
682,1551,1466
683,5563,1756
684,13217,2173
685,10145,2027
686,11404,2039
687,10742,2046
688,13928,2174
689,11835,2179
690,10725,2086
691,20031,2571
692,5029,1705
693,13239,2194
694,10433,2012
695,10320,2034
696,12627,2182
697,10762,2254
698,10081,2002
699,5454,1740
700,12912,2162
701,12109,2072
702,10147,2086
703,10524,2066
704,5908,1850
705,6815,1947
706,4188,1659
707,12342,2105
708,15448,2361
709,6722,1855
710,3587,928
711,14172,2937
712,12862,2742
713,11179,2668
714,5273,2098
715,4631,2076
716,8059,2383
717,14816,2832
718,14194,2812
719,15566,3096
720,13744,2763
721,15299,2889
722,8093,2284
723,11085,2667
724,18229,3055
725,15090,2939
726,13541,2830
727,15128,2836
728,20067,3180
729,3761,2051
730,5600,2225
731,13041,2642
732,14510,2976
733,0,1557
734,15010,2933
735,11459,2553
736,0,120
737,11317,2772
738,5813,2516
739,9123,2734
740,8585,2395
741,31,1635
742,0,1629
743,9827,2743
744,10688,2944
745,14365,2997
746,9469,2463
747,9753,2846
748,2817,1965
749,3520,2049
750,10091,2752
751,10387,2781
752,11107,2693
753,11584,2862
754,7881,2616
755,14560,2995
756,12390,2730
757,10052,2754
758,10288,2754
759,10988,2655
760,8564,2386
761,12461,2924
762,12827,2739
763,10677,2534
764,13566,2960
765,14433,2800
766,9572,2735
767,3789,1199
768,18060,3186
769,16433,3140
770,20159,3411
771,20669,3410
772,14549,2867
773,18827,3213
774,17076,3133
775,15929,3114
776,15108,3043
777,16057,3103
778,10520,2655
779,22359,3554
780,22988,3577
781,20500,3403
782,12685,2846
783,12422,2852
784,15447,3062
785,12315,2794
786,7135,2408
787,1170,1886
788,1969,1988
789,15484,3023
790,14581,2918
791,14990,2950
792,13953,2859
793,19769,3331
794,22026,3589
795,12465,2765
796,14810,2926
797,12209,2809
798,4998,1505
799,9033,2044
800,8053,1935
801,5234,1705
802,2672,1632
803,9256,1880
804,10204,2112
805,5151,1829
806,4212,1763
807,6466,1931
808,11268,2218
809,2824,1651
810,9282,2132
811,8905,1976
812,6829,1909
813,4562,1813
814,10232,2008
815,2718,1580
816,6260,1854
818,7626,3635
819,12386,4079
820,13318,4163
821,14461,3666
822,11207,3363
823,2132,2572
824,13630,4157
825,13070,4092
826,9388,3787
827,15148,4236
828,12200,4044
829,5709,2908
830,3703,2741
831,12405,4005
832,16208,3763
833,7359,3061
834,5417,2884
835,6175,2982
836,2946,2660
837,11419,3369
838,6064,3491
839,8712,3784
840,7875,3110
841,8567,3783
842,7045,3644
843,4468,2799
844,2943,2685
845,8382,3721
846,6582,3586
847,9143,3788
848,4561,1976
849,5014,2650
850,5571,2654
851,3135,2443
852,3430,2505
853,5319,2693
854,3008,2439
855,3864,2536
856,5697,2668
857,5273,2647
858,8538,2883
859,8687,2944
860,9423,3012
861,8286,2889
862,4503,2547
863,10499,3093
864,12474,3142
865,6174,2757
866,15168,3513
867,10085,3164
868,4512,2596
869,8469,2894
870,12015,3212
871,3588,2516
872,12427,3266
873,5843,2683
874,6117,2810
875,9217,2940
876,9877,2947
877,8240,2846
878,8701,2804
880,2564,2044
881,1320,1934
882,1219,1963
883,2483,2009
884,244,1721
885,0,1688
886,0,1688
887,0,1688
888,3147,2188
889,144,1720
890,4068,2419
891,5245,2748
892,400,1799
893,0,1688
894,1321,1928
895,1758,2067
896,6157,2780
897,8360,3101
898,7174,2896
899,1619,1962
